atividade_principal_code,tipo,situacao,natureza_juridica,participacoes,vitorias,class
86.30-5-02,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,?
47.51-2-01,MATRIZ,ATIVA,213-5,"MUITO FREQUENTE","MUITO FREQUENTE",?
96.03-3-04,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.42-3-00,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",?
41.20-4-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.44-0-99,MATRIZ,ATIVA,213-5,"MUITO FREQUENTE","MUITO FREQUENTE",?
45.11-1-02,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.31-8-00,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,?
86.30-5-03,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",?
47.31-8-00,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
33.12-1-03,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
18.13-0-99,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,?
45.30-7-03,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE",FREQUENTE,?
47.44-0-99,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.89-0-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
18.12-1-00,MATRIZ,ATIVA,206-2,"MUITO FREQUENTE","MODERADAMENTE FREQUENTE",?
58.29-8-00,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
18.13-0-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.54-7-01,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","NUNCA VENCEU",?
45.30-7-03,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
32.50-7-02,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
47.11-3-02,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,?
45.41-2-03,MATRIZ,ATIVA,206-2,FREQUENTE,"MODERADAMENTE FREQUENTE",?
45.41-2-03,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",?
